CountryName,Access to electricity (% of population),elec,"Population, total",pop
Mongolia,,83.56066895,,2824698
Montenegro,,100,,620601
Morocco,,94.14844513,,33241898
Mozambique,,21.23671913,,24862673
Myanmar,,55.15865326,,51413703
Namibia,,46.60624313,,2194777
Nauru,,99.17106628,,10136
Nepal,,74.73197174,,26989160
Netherlands,,100,,16754962
New Caledonia,,100,,259000
New Zealand,,100,,4408100
Nicaragua,,79.54708099,,5982530
Niger,,14.4,,17795209
Nigeria,,53.15390015,,167228803
North Macedonia,,100,,2074275
Northern Mariana Islands,,100,,54306
Norway,,100,,5018573
Oman,,100,,3498031
Pakistan,,70.98094177,,187280125
Palau,,97.63042631,,17635
Panama,,89.75109863,,3770635
Papua New Guinea,,33.69097519,,7631003
Paraguay,,97.835616,,6421510
Peru,,91.099508,,29506790
Philippines,,87.08,,97212639
Poland,,100,,38063164
Portugal,,100,,10514844
Puerto Rico,,100,,3634488
Qatar,,100,,2196078
Romania,,100,,20058035
Russian Federation,,100,,143201721
Rwanda,,17.5,,10549668
Samoa,,96.82684326,,189089
San Marino,,100,,32103
Sao Tome and Principe,,57.9,,188394
Saudi Arabia,,100,,29154906
Senegal,,56.5,,13401990
Serbia,,100,,7199077
Seychelles,,98.32720947,,88303
Sierra Leone,,16.94552612,,6712586
Singapore,,100,,5312437
Sint Maarten (Dutch part),,100,,34640
Slovak Republic,,100,,5407579
Slovenia,,100,,2057159
Solomon Islands,,42.22318649,,556066
Somalia,,24.14054489,,12715487
South Africa,,85.3,,52832659
South Sudan,,3.137244701,,10113648
Spain,,100,,46773055
Sri Lanka,,87,,20425000
St. Kitts and Nevis,,100,,49881
St. Lucia,,95.34342258,,176654
St. Martin (French part),,100,,37012
St. Vincent and the Grenadines,,95.38168335,,108435
Sudan,,41.60363388,,36193781
Suriname,,94.34619904,,541247
Sweden,,100,,9519374
Switzerland,,100,,7996861
Syrian Arab Republic,,90.84231567,,20438861
Tajikistan,,99.1,,7874838
Tanzania,,15.3,,47053033
Thailand,,99.10862355,,67835969
Timor-Leste,,58.00358963,,1133002
Togo,,38.97059631,,6773807
Tonga,,92.8,,102736
Trinidad and Tobago,,100,,1344814
Tunisia,,99.5,,10846993
Turkey,,100,,74651046
Turkmenistan,,99.89390564,,5267906
Turks and Caicos Islands,,93.1,,34067
Tuvalu,,97.6717774,,10744
Uganda,,20.37479401,,34558700
Ukraine,,99.86749117,,45593342
United Arab Emirates,,100,,9141598
United Kingdom,,100,,63700215
United States,,100,,313877662
Uruguay,,99.6,,3378975
Uzbekistan,,99.90933228,,29774500
Vanuatu,,43.77164078,,249505
"Venezuela, RB",,99.20826721,,29360827
Vietnam,,97.89,,89801926
Virgin Islands (U.S.),,100,,108188
West Bank and Gaza,,99.7525177,,3979998
"Yemen, Rep.",,52.41,,24473176
Zambia,,27.34055328,,14465148
Zimbabwe,,44,,13115149
